ID,Nombre,Inteligencia,Fuerza,Velocidad,Durabilidad,Potencia,Combate,Genero,Etnia,Altura,Peso,Color_Ojos,Color_Pelo,Nombre Completo,Alias,Lugar de nacimiento,Primera aparición,Editor,Alineación
395,Kraven the Hunter,63,32,35,42,25,85,Male,Human,183 cm,106 kg,Brown,Black,Sergei Kravinoff,"Kraven the Hunter, World's Greatest Hunter, the Grim Hunter","Volgograd (formerly Stalingrad), Russia",The Amazing Spider-Man #15 (1964),Marvel Comics,bad
396,Krypto,9,80,100,90,82,40,Male,Kryptonian,64 cm,18 kg,Blue,White,Krypto the Superdog,-,-,"Adventure Comics #210 (March, 1955)",DC Comics,good
397,Kyle Rayner,69,90,50,60,100,60,Male,Human,180 cm,79 kg,Green,Black,Kyle Rayner,"Ion, Kyle Vasquez, Parallax, Torch Bearer, Honor Guard, The Last Green Lantern","North Hollywood, Los Angeles, California",Green Lantern Vol 3 #48,DC Comics,good
398,Kylo Ren,56,44,33,30,100,70,Male,Human,0 cm,0 kg,-,-,Ben Solo,-,-,Star Wars: Episode VII - The Force Awakens (2015),George Lucas,bad
399,Lady Bullseye,Sin dato,63,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,Black,,-,-,-,Marvel Comics,bad
400,Lady Deathstrike,63,28,42,85,48,90,Female,Cyborg,175 cm,58 kg,Brown,Black,Yuriko Oyama,Ana Cortes,"Osaka, Japan",Alpha Flight Vol. 1 #33 (1985),Marvel Comics,bad
401,Leader,100,10,12,14,59,42,Male,null,178 cm,63 kg,Green,No Hair,Samuel Sterns,-,"Boise, Idaho",-,Marvel Comics,bad
402,Leech,25,5,12,14,62,14,Male,null,0 cm,0 kg,-,-,,-,-,Uncanny X-Men #179,Marvel Comics,good
403,Legion,50,100,42,30,100,75,Male,Mutant,175 cm,59 kg,Green / Blue,Black,David Haller,"Jack Wayne, Cyndi, Jemail Karami, Daniel Lucas Haller, Daniel Haller, Rodney, Ian, Lucas, Fanya, Boris, Zachary, Sylvester, God-Mutant",Israel,"New Mutants #25 (March, 1985)",Marvel Comics,good
404,Leonardo,75,16,50,65,59,80,Male,Mutant,0 cm,0 kg,Blue,No Hair,Leonardo,"Leo, Ghost of the Jungle, Splinter Jr.",-,Teenage Mutant Ninja Turtles #1,IDW Publishing,good
405,Lex Luthor,100,53,25,65,68,70,Male,Human,188 cm,95 kg,Green,No Hair,Lex Luthor,-,-,Action Comics #23,DC Comics,bad
406,Light Lass,38,10,35,28,67,42,Female,null,165 cm,54 kg,Blue,Red,Ayla Ranzz,-,-,Teen Titans/Legion Special #1,DC Comics,good
407,Lightning Lad,38,10,23,28,60,42,Male,null,155 cm,65 kg,Blue,Red,Garth Ranzz,"Lightning Boy, Live Wire",-,Teen Titans/Legion Special #1,DC Comics,good
408,Lightning Lord,44,10,23,42,66,42,Male,null,191 cm,95 kg,Blue,Red,Mekt Ranzz,-,-,Supergirl and the Legion of Super-Heroes #25 (Feb. 2007),DC Comics,bad
409,Living Brain,75,53,35,56,31,28,-,null,198 cm,360 kg,Yellow,-,,-,-,Amazing Spider-Man #8 (1964),Marvel Comics,bad
410,Living Tribunal,100,100,100,100,100,30,-,Cosmic Entity,0 cm,0 kg,Blue,No Hair,,"Living Trinity, Magistrate, High Judge of The Multiverse, Sir",-,Strange Tales #157,Marvel Comics,neutral
411,Liz Sherman,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,Elizabeth Anne Sherman,-,-,-,Dark Horse Comics,good
412,Lizard,50,51,27,70,63,56,Male,Human,203 cm,230 kg,Red,No Hair,Curtis Connors,-,"Coral Gables, Florida",Amazing Spider-Man #6,Marvel Comics,bad
413,Lobo,94,100,54,100,100,85,Male,Czarnian,229 cm,288 kg,Red,Black,Lobo,"The Main Man, The 'Bo, Master Frag, Mister Machete, Popebo; He-Who-Devours-Your-Entrails-And-Thoroughly-Enjoys-It",-,Omega Men # 3,DC Comics,neutral
414,Loki,88,63,46,85,100,60,Male,Asgardian,193 cm,236 kg,Green,Black,Loki Laufeyson,"God of Mischief, Gem-Keeper, Walter Lawson, Lester, Loren Olsen, Tyfon, Father Williams, Willie, Tso Zhung; has also impersonated hundreds of others.","Jotunheim, Asgard",Journey into Mystery Vol. 1 #85,Marvel Comics,bad
415,Longshot,50,10,27,10,71,70,Male,Human,188 cm,36 kg,Blue,Blond,,"The Lost Messiah, The Lucky One",-,"Longshot #1 (September, 1985)",Marvel Comics,good
416,Luke Cage,50,63,29,95,44,70,Male,Human,198 cm,191 kg,Brown,Black,Luke Cage,"Carl Lucas, Power Man, Mark Lucas, Hero for Hire, Ace of Spades","Harlem, New York City",Hero for Hire #1 (1972),Power Man,good
417,Luke Campbell,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Luke Campbell,-,-,-,NBC - Heroes,bad
418,Luke Skywalker,69,38,42,25,100,100,Male,Human,168 cm,77 kg,Blue,Blond,Luke Skywalker,"General Skywalker, Master Luke, Jedi",Tatooine,Star Wars: Episode IV - A New Hope (1977),George Lucas,good
419,Luna,38,6,83,14,53,14,Female,Human,0 cm,0 kg,-,-,Luna Maximoff,-,"Attilan, Blue Area of the Moon",-,Marvel Comics,good
420,Lyja,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,Green,Green,Lyja,"Alicia Masters, Lyja The Lazerfist, Laura Green",-,"Fantastic Four #265 (as Alicia), Fantastic Four #357 (as Lyja)",Marvel Comics,good
421,Mach-IV,75,36,60,84,60,56,Male,null,180 cm,79 kg,Brown,Brown,Abner Jenkins,"Beetle, MACH-I, MACH-II, MACH-III, Matthew","Baltimore, Maryland",(Beetle) Strange Tales #123 (1964); (MACH-I) Incredible Hulk #449 (1997); (MACH-II) Thunderbolts #37 (2000); (MACH-III) Thunderbolts #57 (2001); (MACH-IV) New Thunderbolts #1 (2005),Marvel Comics,bad
422,Machine Man,63,32,35,84,51,64,-,null,183 cm,383 kg,Red,Black,"X-51, Aaron Stack","Sir McHinery, Mister Machine.Machine Man","Central City, California",First appearance unknown,Marvel Comics,good
423,Magneto,88,80,27,84,91,80,Male,Mutant,188 cm,86 kg,Grey,White,Erik Magnus Lensherr,"The Creator, Erik Magnus Lehnsherr, Michael Xavier, White Pilgrim, Erik the RedThe Master of Magnetism","Unrevealed, probably somewhere in Northern Europe",X-MEN Vol. 1 #1,Marvel Comics,bad
424,Magog,50,48,23,64,66,72,Male,null,0 cm,0 kg,Blue,Blond,David Reid,-,-,-,DC Comics,good
425,Magus,88,100,70,99,100,74,Male,null,183 cm,0 kg,Black,-,,Warlock's Father,Kvch (Technarchy�s home planet),New Mutants #18 (1984),Marvel Comics,bad
426,Man of Miracles,100,100,100,100,100,100,-,God / Eternal,0 cm,0 kg,Blue,Silver,,Mother Of Existence,-,Spawn #75,Image Comics,-
427,Man-Bat,38,18,50,70,33,30,Male,Human,0 cm,0 kg,Brown,Brown,Robert Kirkland Langstrom,Kirk Langstrom,"Chicago, Illinois","Detective Comics #400 (June, 1970)",DC Comics,neutral
428,Man-Thing,50,32,8,100,100,40,Male,null,213 cm,225 kg,Red,No Hair,Dr. Theodore Sallis,the Vagornus Koth; the Swamp Walker; Mr. Salad; Walking Mulch Heap,-,"Savage Tales #1 (May, 1971)",Marvel Comics,good
429,Man-Wolf,63,44,35,42,45,70,Male,null,188 cm,90 kg,Brown,Auburn,John Jameson,"Stargod, Vanwolf, Skywolf","New York, New York","AMAZING SPIDER-MAN #1, (as Man-Wolf) AMAZING SPIDER-MAN #124",Marvel Comics,good
430,Mandarin,100,28,23,28,100,95,Male,Human,188 cm,97 kg,Blue,White,Khan,"Tem Borjigin, Gene Kahn, Master Khan, Zhang Tong, Mandy",China,"Tales of Suspense #50 (February, 1964)",Marvel Comics,bad
431,Mantis,63,8,33,80,100,80,Female,Human-Kree,168 cm,52 kg,Green,Black,,"Celestial Madonna, Willow, Lorelei, Mandy Celestine, This One (in referring to herself)",Vietnam,Avengers #112,Marvel Comics,good
432,Martian Manhunter,100,95,92,100,100,85,Male,Martian,201 cm,135 kg,Red,No Hair,J'onn J'onzz,"ohn Jones; J'Onn J'Onzz (alternate spelling); Big Green Buddy; J.J.; Jolly Green Giant; Light to the Light; Manhunter; Manhunter from Mars; Son of Mars; Bronze Wraith, Bloodwynd, many others",-,Detective Comics #225 (1955),DC Comics,good
433,Marvel Girl,63,85,47,42,100,80,Female,null,170 cm,56 kg,Green,Red,Rachel Anne Summers,"Rachel Grey, formerly Phoenix, Mother Askani, Bright Lady, Aly'zrn Summerset",-,UNCANNY X-MEN #141,Marvel Comics,good
434,Master Brood,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,183 cm,81 kg,Blue,Black,Currently Colin Wood,Brood,Perhaps England,Team Epic Episode 101,Team Epic TV,good
435,Master Chief,75,73,35,80,69,100,Male,Human / Altered,213 cm,0 kg,Brown,Brown,John-117,"Blue 1, Sierra 117, Spartan 117, Demon","Elysium City, Eridanus II",-,Microsoft,good
436,Match,75,95,83,85,100,70,Male,null,0 cm,0 kg,Black,Black,Kent Connor,"Superboy, Superman",-,"Superboy Vol 4 #35 (January, 1997)",DC Comics,bad
437,Matt Parkman,63,10,12,14,59,56,Male,null,0 cm,0 kg,-,-,Matthew Parkman,-,-,Heroes S01E02 - Don't Look Back,NBC - Heroes,good
438,Maverick,63,10,12,42,60,85,Male,null,193 cm,110 kg,Blue,Black,Christopher Bradley,"Chris, Bolt",-,X-Men Unlimited #8 (1995),Marvel Comics,good
439,Maxima,75,90,35,56,81,75,Female,null,180 cm,72 kg,Brown,Red,,"Queen Maxima, Empress of the Almeracian Empire",Almerac,-,DC Comics,bad
440,Maya Herrera,50,10,12,14,60,14,Female,null,0 cm,0 kg,-,-,Maya Herrera,-,Dominican Republic,-,NBC - Heroes,good
441,Medusa,75,34,35,70,37,56,Female,Inhuman,180 cm,59 kg,Green,Red,Medusalith Amaquelin Boltagon,"Madam Medusa, Queen Medusa","Island of Attilan, Atlantic Ocean",Fantastic Four Vol. 1 #36 (1965),Marvel Comics,good
442,Meltdown,38,10,12,42,62,64,Female,null,165 cm,54 kg,Blue,Blond,Tabitha Smith,"Boom-Boom, Boomer, Meltdown, Mutate #35, Time Bomb, Nancy Forrester","Roanoke, Virginia",-,Boom-Boom,good
443,Mephisto,88,85,35,95,100,42,Male,null,198 cm,140 kg,White,Black,,"Satan; Mephistopheles, Lord of Evil, Prince of Devils, Prince of Lies, Lord of the Lower Depths, Satan, Beelzebub, the Devil, Maya, Lucifer, Nick Scratch, the Friend, Legion, numerous others; impersonated Don Blake, many others",Hell,-,Marvel Comics,bad
444,Mera,56,62,79,60,92,80,Female,Atlantean,175 cm,72 kg,Blue,Red,Mera,"Queen of Atlantis, Aquawoman, Aquagirl, Water-Woman",-,"Aquaman #11 (October, 1963)",DC Comics,good
445,Metallo,75,53,23,95,86,64,Male,Android,196 cm,90 kg,Green,Brown,John Corben,-,-,"Superman Vol 2 #1 (January, 1987)",DC Comics,bad
446,Metamorpho,Sin dato,82,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,185 cm,90 kg,Black,No Hair,Rex Mason,The Element Man,-,Brave and the Bold #57,DC Comics,good
447,Meteorite,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,good
448,Metron,88,10,47,56,100,28,Male,null,185 cm,86 kg,Blue,Black,Metron,-,-,"New Gods vol. 1 #1 (February-March, 1971)",DC Comics,good
449,Micah Sanders,63,8,12,14,57,14,Male,null,0 cm,0 kg,Brown,Black,Micah Sanders,MicahSanders500,-,-,NBC - Heroes,good
450,Michelangelo,63,14,50,65,59,75,Male,Mutant,0 cm,0 kg,Blue,-,,"Mike, Mikey, Mikester, Michaelangelo",-,-,IDW Publishing,good
451,Micro Lad,38,28,27,28,44,32,Male,null,183 cm,77 kg,Grey,Brown,Gim Allon,"Colossal Boy (mostly known as Colossal Boy, although he dislikes that name himself)",-,Teen Titans/Legion Special #1 (2004),DC Comics,good
452,Mimic,63,67,47,56,79,42,Male,null,188 cm,101 kg,Brown,Brown,Calvin Montgomery Rankin,"Cal, Wolverine, Calvin Rankin","Passiac, New Jersey",Uncanny X-Men #19,Marvel Comics,good
453,Minna Murray,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,Wilhelmina Harker,-,-,-,Wildstorm,good
454,Misfit,63,32,23,80,91,42,Female,null,0 cm,0 kg,Blue,Red,Charlotte Gage-Radcliffe,Batgirl,-,Birds of Prey #96,Batgirl V,good
455,Miss Martian,63,85,58,100,100,45,Female,null,178 cm,61 kg,Red,Red,M'gann M'orzz,"Megan Morse; M'Gann M'Orzz (alternate spelling); Martian Girlhunter; Martian Manhunter (Titans Tomorrow alias), Star-Spangled Kid",Mars,"Teen Titans Vol 3 #37 (August, 2006)",DC Comics,good
456,Mister Fantastic,100,10,18,70,33,64,Male,Human / Radiation,185 cm,81 kg,Brown,Brown,Reed Richards,Mr Fantastic,"Central City, California",FANTASTIC FOUR #1,Marvel Comics,good
457,Mister Freeze,75,32,12,70,37,28,Male,Human,183 cm,86 kg,-,-,Victor Fries,"Mister Zero, Doctor Zero, Doctor Schimmell",-,Batman #121 (Feb. 1959),DC Comics,bad
458,Mister Knife,75,10,17,30,13,65,Male,Spartoi,0 cm,0 kg,Blue,Brown,J'son,"Jason of Spartax, Jason of Sparta, Star-Lord, Mr Knife","Spartax, Spartoi Empire, near the Shi'ar Galaxy","Inhumans Vol 3 #2 (July, 2000)",Marvel Comics,bad
459,Mister Mxyzptlk,100,85,100,100,100,50,Male,God / Eternal,0 cm,0 kg,-,-,Mr. Mxyzptlk,-,-,Superman #30,DC Comics,bad
460,Mister Sinister,100,48,46,90,100,50,Male,Human / Altered,196 cm,128 kg,Red,Black,Nathaniel Essex,"Sinister, Robert Windsor, Arnold Bocklin, Mike Milbury, Apocalypse, Steven Shaffran, Edmond Atkinson, Nate, Administrator Pearson, Nosferatu, Nathan Milbury, Pale Man","London, England","Uncanny X-Men #221 (September, 1987)",Marvel Comics,bad
461,Mister Zsasz,88,22,33,28,18,85,Male,Human,0 cm,0 kg,Blue,Blond,Victor Zsasz,Mr Zsasz,-,-,DC Comics,bad
462,Mockingbird,75,31,38,20,48,95,Female,Human,175 cm,61 kg,Blue,Blond,Barbara Morse,"Barbara Morse-Barton, Roberta Morse, Agent 19, Huntress, Bobbi Van Dyne; once posed as Shooting Star","San Diego, California","Astonishing Tales #6 (June, 1971)",Marvel Comics,good
463,MODOK,100,18,25,25,79,15,Male,Cyborg,366 cm,338 kg,White,Brownn,George Tarleton,"M.O.D.O.K., Mental Organism Designed Only for Killing",-,Tales of Suspense #93,Marvel Comics,bad
464,Mogo,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,Planet,0 cm,0 kg,-,-,Mogo,-,-,"Green Lantern Vol 2 #188 (May, 1985)",DC Comics,good
465,Mohinder Suresh,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Mohinder Suresh,-,India,Heroes S01E01 - Genesis,NBC - Heroes,good
466,Moloch,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Edgar William Jacobi,"William Edgar Bright, Moloch the Mystic",-,-,DC Comics,bad
467,Molten Man,50,73,23,84,53,56,Male,null,196 cm,248 kg,Gold,Gold,Mark Raxton,-,-,Amazing Spider-Man #28 (1965),Marvel Comics,bad
468,Monarch,Sin dato,100,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,193 cm,90 kg,Blue,White,Nathaniel Christopher Adam,"Monarch, Allen Adam, Cameron Scott, Captain Atom",-,"Captain Atom #1 (D.C., March, 1987)",DC Comics,good
469,Monica Dawson,50,10,35,14,48,90,Female,null,0 cm,0 kg,-,-,Monica Dawson,-,-,Heroes S02E04 - The Kindness of Strangers,NBC - Heroes,good
470,Moon Knight,50,36,23,42,28,75,Male,Human,188 cm,101 kg,Brown,Brown,Marc Spector,"Jake Lockley, Steven Grant, Yitzak Topol, Fist of Khonshu, Crescent Crusader, Lunar Legionnaire","Chicago, Illinois","Werewolf by Night #32 (August, 1975)",Marvel Comics,good
471,Moonstone,56,67,47,52,74,80,Female,null,180 cm,59 kg,Blue,Blond,Karla Sofen,"Meteorite,  Kate Sorenson","Van Nuys, California","Captain America Vol. 1 #192 (December, 1975)",Marvel Comics,bad
472,Morlun,63,60,35,42,74,56,Male,null,188 cm,79 kg,White / Red,Black,Morlun,-,-,Amazing Spider-Man #30 (2001),Marvel Comics,bad
473,Morph,Sin dato,40,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,178 cm,79 kg,White,No Hair,Kevin Sydney,-,"Pittsburgh, Pennsylvania",Exiles #1,Marvel Comics,good
474,Moses Magnum,75,28,12,42,55,56,Male,null,175 cm,72 kg,Brown,Black,Moses Magnum,"Magnum Force,",-,Giant-Size Spider-Man #4 (1975),Marvel Comics,bad
475,Mr Immortal,50,10,8,100,69,30,Male,Mutant,188 cm,70 kg,Blue,Blond,Craig Hollis,-,-,West Coast Avengers Vol 2 #46,Marvel Comics,good
476,Mr Incredible,50,83,33,95,29,40,Male,Human,201 cm,158 kg,Blue,Blond,Robert Parr,"Mr. I, The Hero's Hero, Bob Parr",-,"The Incredibles (Movies, 2004)",Dark Horse Comics,good
477,Ms Marvel II,38,63,23,84,11,56,Female,null,173 cm,61 kg,Blue,Red,Sharon Ventura,She-Thing,"Pullman, Washington",-,She-Thing,good
478,Multiple Man,63,11,23,70,28,62,Male,null,180 cm,70 kg,Blue,Brown,James Arthur,-,"Los Alamos, New Mexico",GIANT-SIZE FANTASTIC FOUR #4,Marvel Comics,good
479,Mysterio,81,10,17,40,82,70,Male,Human,180 cm,79 kg,Brown,No Hair,Quentin Beck,"Nicholas Macabes, Rudolph Hines, Gerdes, Doctor Ludwig Rinehart","New York, New York",Amazing Spider-Man #13 (1964),Marvel Comics,bad
480,Mystique,75,12,23,64,64,74,Female,Mutant,178 cm,54 kg,Yellow (without irises),Red / Orange,Raven Darkholme,Mallory Brickman,-,"(as Raven Darkholme) MS. MARVEL #16, (as Mystique) MS. MARVEL #18",Marvel Comics,bad
481,Namor,69,95,58,70,73,85,Male,Atlantean,188 cm,125 kg,Grey,Black,Namor McKenzie,"Imperius Rex, Dr. G.W. Falton, Sub-Mariner, ""Subby"", Namor the First, Avenging Son, Old Man, Rex, Joe Pierre, Lord of the Seven Seas, the Scion of the Deep, Phoenix",Atlantis,"Motion Picture Funnies Weekly #1 (April, 1939)",Marvel Comics,good
482,Namor,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,good
483,Namora,50,85,42,42,48,64,Female,null,180 cm,85 kg,Blue,Blond,Aquaria Nautica Neptunia,"Sub-Mariner, Avenging Daughter, the Sea Beauty",Unnamed Atlantean outpost,Marvel Mystery Comics #82 (1947),Marvel Comics,good
484,Namorita,50,72,47,70,37,70,Female,null,168 cm,101 kg,Blue,Blond,Namorita Prentiss,"Kymaera, Hard",Atlantis Outskirts,SUB-MARINER Vol. 2 #50 (1972),Marvel Comics,good
485,Naruto Uzumaki,50,80,32,80,100,100,Male,Human,168 cm,54 kg,-,-,,-,-,-,Shueisha,good
486,Nathan Petrelli,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,Brown,-,Nathan Petrelli,-,-,Heroes S01E01,NBC - Heroes,good
487,Nebula,63,52,13,50,42,60,Female,Luphomoid,185 cm,83 kg,Blue,No Hair,,-,-,"Avengers #257 (July, 1985)",Marvel Comics,bad
488,Negasonic Teenage Warhead,50,7,8,10,45,35,Female,Mutant,0 cm,0 kg,Black,Black,Ellie Phimister,Warhead,-,New X-Men #115,Marvel Comics,good
489,Nick Fury,75,11,23,42,25,100,Male,Human,185 cm,99 kg,Brown,Brown / White,Nicholas Joseph Fury,"Doyle, The Mystery in the Mask, Patch, Scorpio",New York City,Sgt. Fury and His Howling Commandos #1 (1963),Marvel Comics,good
490,Nightcrawler,50,10,47,14,76,80,Male,null,175 cm,88 kg,Yellow,Indigo,Kurt Wagner,-,Somewhere in the Bavarian Alps,GIANT-SIZE X-MEN #1,Marvel Comics,good
491,Nightwing,88,11,33,28,36,100,Male,Human,178 cm,79 kg,Blue,Black,Dick Grayson,"Freddie Dinardo, Freddy Loyd, The Target, Renegade, The Worlds Greatest Acrobat, The Aerial Avenger, Pixie Boots, The Boy / Teen Wonder, The Worlds Greatest Detective, The Caped Crusader",Gotham City,"as Dick Grayson and Robin) Detective Comics #38, (as Nightwing) Tales of the Teen Titans #44, (as Batman) Batman #512",Batman II,good
492,Niki Sanders,63,52,35,28,37,56,Female,null,0 cm,0 kg,Blue,Blond,Nicole Sanders,"Jessica, Gina",-,Heroes S01E01 - Genesis,NBC - Heroes,good
493,Nina Theroux,63,5,8,10,68,20,Female,Alpha,0 cm,0 kg,-,-,,-,-,-,SyFy,good
494,Nite Owl II,Sin dato,45,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Daniel Dreiberg,-,-,-,DC Comics,good
495,Northstar,50,18,83,56,65,70,Male,null,180 cm,83 kg,Blue,Black,Jean-Paul Beaubier,Jean-Paul Martin,"Montreal, Qu�bec, Canada",X-Men #120 (1979),Marvel Comics,good
496,Nova,100,85,75,100,100,80,Male,Human,185 cm,86 kg,Brown,Brown,Richard Rider,"Rich, Bucket-Head, Human Rocket, Kid Nova, , Nova Prime, Quasar","Queens, NY","NOVA Vol. 1 #1 (September, 1976)",Marvel Comics,good
497,Nova,63,60,100,100,100,35,Female,Human / Cosmic,163 cm,59 kg,White,Red,Frankie Raye,"Frances Hyatt, Human Torch",-,"Fantastic Four #164 (November, 1975)",Marvel Comics,good
498,Odin,100,83,67,95,100,90,Male,God / Eternal,206 cm,293 kg,Blue,White,Odin Borson,"All-Father,Sky-Father, Atum-Re, Woden, Wotan, Oden, Orrin, Harbard, King of Asgard",Asgard,Journey into Mystery #85,Marvel Comics,good
499,Offspring,50,10,35,99,100,56,Male,null,0 cm,0 kg,-,-,Luke O'Brian,"Ernie McDunnagh, Plastic Lad",-,-,DC Comics,good
500,Omega Red,Sin dato,61,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,211 cm,191 kg,Red,Blond,Arkady Gregorivich,"Arkady Rossovich, Vasyliev Arkady",-,-,Marvel Comics,bad
501,Omniscient,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,180 cm,65 kg,Brown,Black,Omniscient is the closest English word that compares to his alien tongue.,-,Another Unknown World,Team Epic Episode 101,Team Epic TV,good
502,One Punch Man,38,100,83,95,55,50,Male,Human,175 cm,69 kg,-,No Hair,Saitama,Caped Baldy,-,"One Punch - Chapter 1, Volume 1",Shueisha,good
503,One-Above-All,100,100,100,100,100,100,-,Cosmic Entity,0 cm,0 kg,-,-,,One Above All,-,Doctor Strange Vol 2 #13,Marvel Comics,neutral
504,Onslaught,88,100,33,100,100,55,Male,Mutant,305 cm,405 kg,Red,No Hair,Onslaught,"Charlie Silus, Sir David The Great, Charles Xavier, Magneto, That Which Shall Survive, the Entity, Dark Xavier",-,"X-Man Vol 1 #15 (May, 1996)",Marvel Comics,bad
505,Oracle,75,11,23,28,19,76,Female,Human,178 cm,59 kg,Blue,Red,Barbara Gordon,"Batgirl, Babs; Barbie Doll; O; The Masked Maiden; the Dark Knight Damsel",-,Suicide Squad #23 (Jan.1989),Batgirl,good
506,Osiris,75,85,60,95,65,42,Male,null,0 cm,0 kg,Brown,Brown,Amon Tomaz,-,-,-,DC Comics,good
507,Overtkill,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Nicholas Rocca,OvertWar,-,-,Image Comics,bad
508,Ozymandias,100,18,33,20,49,95,Male,Human,0 cm,0 kg,Blue,Blond,Adrian Veidt,The World's Smartest Man,-,Watchmen #1,DC Comics,bad
509,Parademon,9,28,17,50,53,25,-,Parademon,0 cm,0 kg,-,-,,-,Apokalips,New Gods #1,DC Comics,bad
510,Paul Blart,8,11,21,50,7,5,Male,Human,170 cm,117 kg,-,-,Paul Blart,Mall Cop,-,-,Sony Pictures,good
511,Penance,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,-,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,good
512,Penance I,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,good
513,Penance II,Sin dato,20,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,183 cm,89 kg,Blue,Blond,Robert Baldwin,"Formerly Speedball, Masked Marvel","Springdale, Connecticut",(as Speedball) Amazing Spider-Man Annual #22 (1988); (as Penance) Civil War: Front Line #10 (2007),Speedball,good
514,Penguin,75,10,12,28,30,45,Male,Human,157 cm,79 kg,Blue,Black,Oswald Chesterfield Cobblepot,-,-,"DETECTIVE COMICS #58 (December, 1941)",DC Comics,bad
515,Phantom,Sin dato,48,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Christopher Walker,Mr Walker; Christopher Standish,-,-,DC Comics,good
516,Phantom Girl,38,10,23,28,53,42,Female,null,168 cm,54 kg,Blue,Black,Tinya Wazzo,-,-,Teen Titans/Legion Special #1 (2004),DC Comics,good
517,Phoenix,100,100,83,100,100,80,Female,Mutant,168 cm,52 kg,Green,Red,Jean Grey,"Redd Dayspring, Marvel Girl",-,"X-Men #1 (September, 1963)",Jean Grey,good
518,Plantman,63,60,25,55,61,25,Male,Mutant,183 cm,87 kg,Green,Grey,Samuel Smithers,Blackheath,"London, England","Strange Tales #113 (October, 1963)",Marvel Comics,bad
519,Plastic Lad,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Luke O'Brian,Offspring,-,-,DC Comics,good
520,Plastic Man,50,63,23,100,100,56,Male,Human,185 cm,80 kg,Blue,Black,Patrick O'Brian,-,-,"Police Comics #1 (August, 1941)",DC Comics,good
521,Plastique,50,10,23,28,60,42,Female,null,168 cm,55 kg,Blue,Red,Bette Sans Souci,-,-,Fury of Firestorm #7,DC Comics,bad
522,Poison Ivy,81,14,21,40,100,40,Female,Human,168 cm,50 kg,Green,Red,Pamela Isley,-,"Seattle, Washington",Batman #181 (June 1966),DC Comics,bad
523,Polaris,63,73,42,50,100,45,Female,Mutant,170 cm,52 kg,Green,Green,Lorna Dane,"Pestilence, formerly Malice, Polarity, Magnetrix, M-2, Magneto the Second",Presumably northern California - not confirmed,"X-Men #49 (October, 1968)",Marvel Comics,good
524,Power Girl,94,100,100,100,100,75,Female,Kryptonian,180 cm,81 kg,blue,blond,Kara Zor-L,"Karen Starr, Nightwing",-,All-Star Comics #58 (January/February 1976),DC Comics,good
525,Power Man,Sin dato,82,Sin dato,Sin dato,Sin dato,Sin dato,Male,Mutant,0 cm,0 kg,-,-,Luke Cage,-,-,-,Luke Cage,good
526,Predator,63,30,25,85,100,90,Male,Yautja,213 cm,234 kg,-,-,Yautja,"Hunters, Yautja, Hish",Yautja Prime,Predator (1987),Dark Horse Comics,bad
